created_date_hour,complaint_type,count
2024-12-05T23,DOOR/WINDOW,1
2024-12-05T23,ELECTRIC,2
2024-12-05T23,GENERAL,1
2024-12-05T23,HEAT/HOT WATER,101
2024-12-05T23,PLUMBING,2
2024-12-05T23,WATER LEAK,2
2024-12-05T22,APPLIANCE,4
2024-12-05T22,DOOR/WINDOW,8
2024-12-05T22,ELECTRIC,2
2024-12-05T22,FLOORING/STAIRS,2
2024-12-05T22,GENERAL,2
2024-12-05T22,HEAT/HOT WATER,114
2024-12-05T22,PAINT/PLASTER,4
2024-12-05T22,PLUMBING,3
2024-12-05T22,SAFETY,2
2024-12-05T22,UNSANITARY CONDITION,9
2024-12-05T22,WATER LEAK,4
2024-12-05T21,APPLIANCE,1
2024-12-05T21,DOOR/WINDOW,13
2024-12-05T21,ELECTRIC,4
2024-12-05T21,FLOORING/STAIRS,3
2024-12-05T21,GENERAL,1
2024-12-05T21,HEAT/HOT WATER,145
2024-12-05T21,PAINT/PLASTER,6
2024-12-05T21,PLUMBING,8
2024-12-05T21,SAFETY,1
2024-12-05T21,UNSANITARY CONDITION,11
2024-12-05T21,WATER LEAK,7
2024-12-05T20,DOOR/WINDOW,7
2024-12-05T20,ELECTRIC,5
2024-12-05T20,FLOORING/STAIRS,2
2024-12-05T20,GENERAL,2
2024-12-05T20,HEAT/HOT WATER,175
2024-12-05T20,PAINT/PLASTER,11
2024-12-05T20,PLUMBING,6
2024-12-05T20,SAFETY,3
2024-12-05T20,UNSANITARY CONDITION,15
2024-12-05T20,WATER LEAK,3
2024-12-05T19,APPLIANCE,6
2024-12-05T19,DOOR/WINDOW,13
2024-12-05T19,ELECTRIC,9
2024-12-05T19,FLOORING/STAIRS,4
2024-12-05T19,GENERAL,2
2024-12-05T19,HEAT/HOT WATER,172
2024-12-05T19,PAINT/PLASTER,13
2024-12-05T19,PLUMBING,18
2024-12-05T19,SAFETY,3
2024-12-05T19,UNSANITARY CONDITION,17
2024-12-05T19,WATER LEAK,6
2024-12-05T18,APPLIANCE,1
2024-12-05T18,DOOR/WINDOW,6
2024-12-05T18,ELECTRIC,8
2024-12-05T18,FLOORING/STAIRS,4
2024-12-05T18,GENERAL,3
2024-12-05T18,HEAT/HOT WATER,173
2024-12-05T18,PAINT/PLASTER,5
2024-12-05T18,PLUMBING,14
2024-12-05T18,SAFETY,3
